BaseName	CharacterOrientation	Country	DisplayCountry	DisplayLanguage	DisplayLanguageWithDialect	DisplayName	DisplayNameWithDialect	DisplayScript	DisplayScriptInContext	DisplayVariant	ISO3Country	ISO3Language	Language	LineOrientation	Name	Script	Variant
bn_BD	left-to-right	BD	バングラデシュ	ベンガル語	bn_BD	ベンガル語 (バングラデシュ)	ベンガル語 (バングラデシュ)	-	-	-	BGD	ben	bn	top-to-bottom	bn_BD	-	-
bn_IN	left-to-right	IN	インド	ベンガル語	bn_IN	ベンガル語 (インド)	ベンガル語 (インド)	-	-	-	IND	ben	bn	top-to-bottom	bn_IN	-	-
bo	left-to-right	-	-	チベット語	チベット語	チベット語	チベット語	-	-	-	-	bod	bo	top-to-bottom	bo	-	-
bo_CN	left-to-right	CN	中国	チベット語	bo_CN	チベット語 (中国)	チベット語 (中国)	-	-	-	CHN	bod	bo	top-to-bottom	bo_CN	-	-
bo_IN	left-to-right	IN	インド	チベット語	bo_IN	チベット語 (インド)	チベット語 (インド)	-	-	-	IND	bod	bo	top-to-bottom	bo_IN	-	-
br	left-to-right	-	-	ブルトン語	ブルトン語	ブルトン語	ブルトン語	-	-	-	-	bre	br	top-to-bottom	br	-	-
br_FR	left-to-right	FR	フランス	ブルトン語	br_FR	ブルトン語 (フランス)	ブルトン語 (フランス)	-	-	-	FRA	bre	br	top-to-bottom	br_FR	-	-
brx	left-to-right	-	-	ボド語	ボド語	ボド語	ボド語	-	-	-	-	brx	brx	top-to-bottom	brx	-	-
brx_IN	left-to-right	IN	インド	ボド語	brx_IN	ボド語 (インド)	ボド語 (インド)	-	-	-	IND	brx	brx	top-to-bottom	brx_IN	-	-
bs	left-to-right	-	-	ボスニア語	ボスニア語	ボスニア語	ボスニア語	-	-	-	-	bos	bs	top-to-bottom	bs	-	-
bs_Cyrl	left-to-right	-	-	ボスニア語	bs_Cyrl	ボスニア語 (キリル文字)	ボスニア語 (キリル文字)	キリル文字	キリル文字	-	-	bos	bs	top-to-bottom	bs_Cyrl	Cyrl	-
bs_Cyrl_BA	left-to-right	BA	ボスニア・ヘルツェゴビナ	ボスニア語	bs_Cyrl_BA	ボスニア語 (キリル文字、ボスニア・ヘルツェゴビナ)	ボスニア語 (キリル文字、ボスニア・ヘルツェゴビナ)	キリル文字	キリル文字	-	BIH	bos	bs	top-to-bottom	bs_Cyrl_BA	Cyrl	-
bs_Latn	left-to-right	-	-	ボスニア語	bs_Latn	ボスニア語 (ラテン文字)	ボスニア語 (ラテン文字)	ラテン文字	ラテン文字	-	-	bos	bs	top-to-bottom	bs_Latn	Latn	-
bs_Latn_BA	left-to-right	BA	ボスニア・ヘルツェゴビナ	ボスニア語	bs_Latn_BA	ボスニア語 (ラテン文字、ボスニア・ヘルツェゴビナ)	ボスニア語 (ラテン文字、ボスニア・ヘルツェゴビナ)	ラテン文字	ラテン文字	-	BIH	bos	bs	top-to-bottom	bs_Latn_BA	Latn	-
ca	left-to-right	-	-	カタロニア語	カタロニア語	カタロニア語	カタロニア語	-	-	-	-	cat	ca	top-to-bottom	ca	-	-
ca_AD	left-to-right	AD	アンドラ	カタロニア語	ca_AD	カタロニア語 (アンドラ)	カタロニア語 (アンドラ)	-	-	-	AND	cat	ca	top-to-bottom	ca_AD	-	-
ca_ES	left-to-right	ES	スペイン	カタロニア語	ca_ES	カタロニア語 (スペイン)	カタロニア語 (スペイン)	-	-	-	ESP	cat	ca	top-to-bottom	ca_ES	-	-
ca_FR	left-to-right	FR	フランス	カタロニア語	ca_FR	カタロニア語 (フランス)	カタロニア語 (フランス)	-	-	-	FRA	cat	ca	top-to-bottom	ca_FR	-	-
ca_IT	left-to-right	IT	イタリア	カタロニア語	ca_IT	カタロニア語 (イタリア)	カタロニア語 (イタリア)	-	-	-	ITA	cat	ca	top-to-bottom	ca_IT	-	-
ccp	left-to-right	-	-	チャクマ語	チャクマ語	チャクマ語	チャクマ語	-	-	-	-	-	ccp	top-to-bottom	ccp	-	-
ccp_BD	left-to-right	BD	バングラデシュ	チャクマ語	ccp_BD	チャクマ語 (バングラデシュ)	チャクマ語 (バングラデシュ)	-	-	-	BGD	-	ccp	top-to-bottom	ccp_BD	-	-
ccp_IN	left-to-right	IN	インド	チャクマ語	ccp_IN	チャクマ語 (インド)	チャクマ語 (インド)	-	-	-	IND	-	ccp	top-to-bottom	ccp_IN	-	-
ce	left-to-right	-	-	チェチェン語	チェチェン語	チェチェン語	チェチェン語	-	-	-	-	che	ce	top-to-bottom	ce	-	-
ce_RU	left-to-right	RU	ロシア	チェチェン語	ce_RU	チェチェン語 (ロシア)	チェチェン語 (ロシア)	-	-	-	RUS	che	ce	top-to-bottom	ce_RU	-	-
ceb	left-to-right	-	-	セブアノ語	セブアノ語	セブアノ語	セブアノ語	-	-	-	-	ceb	ceb	top-to-bottom	ceb	-	-
ceb_PH	left-to-right	PH	フィリピン	セブアノ語	ceb_PH	セブアノ語 (フィリピン)	セブアノ語 (フィリピン)	-	-	-	PHL	ceb	ceb	top-to-bottom	ceb_PH	-	-
cgg	left-to-right	-	-	チガ語	チガ語	チガ語	チガ語	-	-	-	-	cgg	cgg	top-to-bottom	cgg	-	-
cgg_UG	left-to-right	UG	ウガンダ	チガ語	cgg_UG	チガ語 (ウガンダ)	チガ語 (ウガンダ)	-	-	-	UGA	cgg	cgg	top-to-bottom	cgg_UG	-	-
chr	left-to-right	-	-	チェロキー語	チェロキー語	チェロキー語	チェロキー語	-	-	-	-	chr	chr	top-to-bottom	chr	-	-
chr_US	left-to-right	US	アメリカ合衆国	チェロキー語	chr_US	チェロキー語 (アメリカ合衆国)	チェロキー語 (アメリカ合衆国)	-	-	-	USA	chr	chr	top-to-bottom	chr_US	-	-
ckb	right-to-left	-	-	中央クルド語	中央クルド語	中央クルド語	中央クルド語	-	-	-	-	ckb	ckb	top-to-bottom	ckb	-	-
ckb_IQ	right-to-left	IQ	イラク	中央クルド語	ckb_IQ	中央クルド語 (イラク)	中央クルド語 (イラク)	-	-	-	IRQ	ckb	ckb	top-to-bottom	ckb_IQ	-	-
ckb_IR	right-to-left	IR	イラン	中央クルド語	ckb_IR	中央クルド語 (イラン)	中央クルド語 (イラン)	-	-	-	IRN	ckb	ckb	top-to-bottom	ckb_IR	-	-
cs	left-to-right	-	-	チェコ語	チェコ語	チェコ語	チェコ語	-	-	-	-	ces	cs	top-to-bottom	cs	-	-
cs_CZ	left-to-right	CZ	チェコ	チェコ語	cs_CZ	チェコ語 (チェコ)	チェコ語 (チェコ)	-	-	-	CZE	ces	cs	top-to-bottom	cs_CZ	-	-
cy	left-to-right	-	-	ウェールズ語	ウェールズ語	ウェールズ語	ウェールズ語	-	-	-	-	cym	cy	top-to-bottom	cy	-	-
cy_GB	left-to-right	GB	イギリス	ウェールズ語	cy_GB	ウェールズ語 (イギリス)	ウェールズ語 (イギリス)	-	-	-	GBR	cym	cy	top-to-bottom	cy_GB	-	-
da	left-to-right	-	-	デンマーク語	デンマーク語	デンマーク語	デンマーク語	-	-	-	-	dan	da	top-to-bottom	da	-	-
da_DK	left-to-right	DK	デンマーク	デンマーク語	da_DK	デンマーク語 (デンマーク)	デンマーク語 (デンマーク)	-	-	-	DNK	dan	da	top-to-bottom	da_DK	-	-
da_GL	left-to-right	GL	グリーンランド	デンマーク語	da_GL	デンマーク語 (グリーンランド)	デンマーク語 (グリーンランド)	-	-	-	GRL	dan	da	top-to-bottom	da_GL	-	-
dav	left-to-right	-	-	タイタ語	タイタ語	タイタ語	タイタ語	-	-	-	-	dav	dav	top-to-bottom	dav	-	-
dav_KE	left-to-right	KE	ケニア	タイタ語	dav_KE	タイタ語 (ケニア)	タイタ語 (ケニア)	-	-	-	KEN	dav	dav	top-to-bottom	dav_KE	-	-
de	left-to-right	-	-	ドイツ語	ドイツ語	ドイツ語	ドイツ語	-	-	-	-	deu	de	top-to-bottom	de	-	-
de_AT	left-to-right	AT	オーストリア	ドイツ語	de_AT	ドイツ語 (オーストリア)	ドイツ語 (オーストリア)	-	-	-	AUT	deu	de	top-to-bottom	de_AT	-	-
de_BE	left-to-right	BE	ベルギー	ドイツ語	de_BE	ドイツ語 (ベルギー)	ドイツ語 (ベルギー)	-	-	-	BEL	deu	de	top-to-bottom	de_BE	-	-
de_CH	left-to-right	CH	スイス	ドイツ語	de_CH	ドイツ語 (スイス)	標準ドイツ語 (スイス)	-	-	-	CHE	deu	de	top-to-bottom	de_CH	-	-
de_DE	left-to-right	DE	ドイツ	ドイツ語	de_DE	ドイツ語 (ドイツ)	ドイツ語 (ドイツ)	-	-	-	DEU	deu	de	top-to-bottom	de_DE	-	-
de_IT	left-to-right	IT	イタリア	ドイツ語	de_IT	ドイツ語 (イタリア)	ドイツ語 (イタリア)	-	-	-	ITA	deu	de	top-to-bottom	de_IT	-	-
de_LI	left-to-right	LI	リヒテンシュタイン	ドイツ語	de_LI	ドイツ語 (リヒテンシュタイン)	ドイツ語 (リヒテンシュタイン)	-	-	-	LIE	deu	de	top-to-bottom	de_LI	-	-
de_LU	left-to-right	LU	ルクセンブルク	ドイツ語	de_LU	ドイツ語 (ルクセンブルク)	ドイツ語 (ルクセンブルク)	-	-	-	LUX	deu	de	top-to-bottom	de_LU	-	-
dje	left-to-right	-	-	ザルマ語	ザルマ語	ザルマ語	ザルマ語	-	-	-	-	dje	dje	top-to-bottom	dje	-	-
dje_NE	left-to-right	NE	ニジェール	ザルマ語	dje_NE	ザルマ語 (ニジェール)	ザルマ語 (ニジェール)	-	-	-	NER	dje	dje	top-to-bottom	dje_NE	-	-
dsb	left-to-right	-	-	低地ソルブ語	低地ソルブ語	低地ソルブ語	低地ソルブ語	-	-	-	-	dsb	dsb	top-to-bottom	dsb	-	-
dsb_DE	left-to-right	DE	ドイツ	低地ソルブ語	dsb_DE	低地ソルブ語 (ドイツ)	低地ソルブ語 (ドイツ)	-	-	-	DEU	dsb	dsb	top-to-bottom	dsb_DE	-	-
dua	left-to-right	-	-	ドゥアラ語	ドゥアラ語	ドゥアラ語	ドゥアラ語	-	-	-	-	dua	dua	top-to-bottom	dua	-	-
dua_CM	left-to-right	CM	カメルーン	ドゥアラ語	dua_CM	ドゥアラ語 (カメルーン)	ドゥアラ語 (カメルーン)	-	-	-	CMR	dua	dua	top-to-bottom	dua_CM	-	-
dyo	left-to-right	-	-	ジョラ＝フォニィ語	ジョラ＝フォニィ語	ジョラ＝フォニィ語	ジョラ＝フォニィ語	-	-	-	-	dyo	dyo	top-to-bottom	dyo	-	-
dyo_SN	left-to-right	SN	セネガル	ジョラ＝フォニィ語	dyo_SN	ジョラ＝フォニィ語 (セネガル)	ジョラ＝フォニィ語 (セネガル)	-	-	-	SEN	dyo	dyo	top-to-bottom	dyo_SN	-	-
dz	left-to-right	-	-	ゾンカ語	ゾンカ語	ゾンカ語	ゾンカ語	-	-	-	-	dzo	dz	top-to-bottom	dz	-	-
